year,category_raw,category,count
2015,Non-Payment/Non-Delivery,Non-Payment/Non-Delivery,67375
2015,419/Overpayment,Overpayment/419,30855
2015,Identity Theft,Identity Theft,21949
2015,Auction,Auction (2015 only),21510
2015,Other,Other,19963
2015,Personal Data Breach,Personal Data Breach,19632
2015,Employment,Employment,18758
2015,Extortion,Extortion,17804
2015,Credit Card Fraud,Credit Card/Check Fraud,17172
2015,Phishing/Vishing/Smishing/Pharming,Phishing,16594
2015,Advanced Fee,Advanced Fee,16445
2015,Harassment/Threats of Violence,"Harassment/Threats of Violence (merged w/ Terrorism, 2021+)",14812
2015,Confidence Fraud/Romance,Confidence Fraud/Romance,12509
2015,No Lead Value,No Lead Value,12187
2015,Government Impersonation,Government Impersonation,11832
2015,Real Estate/Rental,Real Estate/Rental,11562
2015,Business Email Compromise,BEC/EAC,7837
2015,Misrepresentation,Misrepresentation,5458
2015,Lottery/Sweepstakes,Lottery/Sweepstakes/Inheritance,5324
2015,Malware/Scareware,Malware/Scareware/Virus,3294
2015,Corporate Data Breach,Corporate Data Breach,2499
2015,Ransomware,Ransomware,2453
2015,IPR/Copyright and Counterfeit,IPR/Copyright and Counterfeit,1931
2015,Investment,Investment,1806
2015,Crimes Against Children,Crimes Against Children,1348
2015,Civil Matter,Civil Matter,1148
2015,Re-shipping,Re-shipping,1073
2015,Denial of Service,Denial of Service/TDoS,1020
2015,Virus,Malware/Scareware/Virus,971
2015,Health Care Related,Health Care Related,465
2015,Charity,Charity,411
2015,Terrorism,"Terrorism (standalone, pre-2021)",361
2015,Hacktivist,Hacktivist,211
2015,Gambling,Gambling,131
2015,Criminal Forums,Criminal Forums (2015 only),62
2016,Non-Payment/Non-Delivery,Non-Payment/Non-Delivery,81029
2016,Personal Data Breach,Personal Data Breach,27573
2016,419/Overpayment,Overpayment/419,25716
2016,Phishing/Vishing/Smishing/Pharming,Phishing,19465
2016,Employment,Employment,17387
2016,Extortion,Extortion,17146
2016,Identity Theft,Identity Theft,16878
2016,Harassment/Threats of Violence,"Harassment/Threats of Violence (merged w/ Terrorism, 2021+)",16385
2016,Credit Card Fraud,Credit Card/Check Fraud,15895
2016,Advanced Fee,Advanced Fee,15075
2016,Confidence Fraud/Romance,Confidence Fraud/Romance,14546
2016,No Lead Value,No Lead Value,13794
2016,Other,Other,12619
2016,Real Estate/Rental,Real Estate/Rental,12574
2016,Government Impersonation,Government Impersonation,12344
2016,BEC/EAC,BEC/EAC,12005
2016,Tech Support,Tech Support,10850
2016,Misrepresentation,Misrepresentation,5436
2016,Lottery/Sweepstakes,Lottery/Sweepstakes/Inheritance,4231
2016,Corporate Data Breach,Corporate Data Breach,3403
2016,Malware/Scareware,Malware/Scareware/Virus,2783
2016,Ransomware,Ransomware,2673
2016,IPR/Copyright and Counterfeit,IPR/Copyright and Counterfeit,2572
2016,Investment,Investment,2197
2016,Virus,Malware/Scareware/Virus,1498
2016,Crimes Against Children,Crimes Against Children,1230
2016,Civil Matter,Civil Matter,1070
2016,Denial of Service,Denial of Service/TDoS,979
2016,Re-shipping,Re-shipping,893
2016,Charity,Charity,437
2016,Health Care Related,Health Care Related,369
2016,Terrorism,"Terrorism (standalone, pre-2021)",295
2016,Gambling,Gambling,137
2016,Hacktivist,Hacktivist,113
2017,Non-Payment/Non-Delivery,Non-Payment/Non-Delivery,84079
2017,Personal Data Breach,Personal Data Breach,30904
2017,Phishing/Vishing/Smishing/Pharming,Phishing,25344
2017,Overpayment,Overpayment/419,23135
2017,No Lead Value,No Lead Value,20241
2017,Identity Theft,Identity Theft,17636
2017,Advanced Fee,Advanced Fee,16368
2017,Harassment/Threats of Violence,"Harassment/Threats of Violence (merged w/ Terrorism, 2021+)",16194
2017,Employment,Employment,15784
2017,BEC/EAC,BEC/EAC,15690
2017,Confidence Fraud/Romance,Confidence Fraud/Romance,15372
2017,Credit Card Fraud,Credit Card/Check Fraud,15220
2017,Extortion,Extortion,14938
2017,Other,Other,14023
2017,Tech Support,Tech Support,10949
2017,Real Estate/Rental,Real Estate/Rental,9645
2017,Government Impersonation,Government Impersonation,9149
2017,Misrepresentation,Misrepresentation,5437
2017,Corporate Data Breach,Corporate Data Breach,3785
2017,Investment,Investment,3089
2017,Malware/Scareware/Virus,Malware/Scareware/Virus,3089
2017,Lottery/Sweepstakes,Lottery/Sweepstakes/Inheritance,3012
2017,IPR/Copyright and Counterfeit,IPR/Copyright and Counterfeit,2644
2017,Ransomware,Ransomware,1783
2017,Crimes Against Children,Crimes Against Children,1300
2017,Denial of Service/TDoS,Denial of Service/TDoS,1201
2017,Civil Matter,Civil Matter,1057
2017,Re-shipping,Re-shipping,1025
2017,Charity,Charity,436
2017,Health Care Related,Health Care Related,406
2017,Gambling,Gambling,203
2017,Terrorism,"Terrorism (standalone, pre-2021)",177
2017,Hacktivist,Hacktivist,158
2018,Non-Payment/Non-Delivery,Non-Payment/Non-Delivery,65116
2018,Extortion,Extortion,51146
2018,Personal Data Breach,Personal Data Breach,50642
2018,No Lead Value,No Lead Value,36936
2018,Phishing/Vishing/Smishing/Pharming,Phishing,26379
2018,BEC/EAC,BEC/EAC,20373
2018,Confidence Fraud/Romance,Confidence Fraud/Romance,18493
2018,Harassment/Threats of Violence,"Harassment/Threats of Violence (merged w/ Terrorism, 2021+)",18415
2018,Advanced Fee,Advanced Fee,16362
2018,Identity Theft,Identity Theft,16128
