year,Advanced Fee,Auction (2015 only),BEC/EAC,Botnet,Charity,Civil Matter,Computer Intrusion (2021 only),Confidence Fraud/Romance,Corporate Data Breach,Credit Card/Check Fraud,Crimes Against Children,Criminal Forums (2015 only),"Data Breach (merged category, 2022+)",Denial of Service/TDoS,Employment,Extortion,Gambling,Government Impersonation,Hacktivist,"Harassment/Threats of Violence (merged w/ Terrorism, 2021+)",Health Care Related,IPR/Copyright and Counterfeit,Identity Theft,Investment,Lottery/Sweepstakes/Inheritance,Malware/Scareware/Virus,Misrepresentation,No Lead Value,Non-Payment/Non-Delivery,Other,Overpayment/419,Personal Data Breach,Phishing,Phishing/Spoofing (merged 2023+),Ransomware,Re-shipping,Real Estate/Rental,SIM Swap,"Spoofing (standalone, 2016-2022)",Tech Support,"Terrorism (standalone, pre-2021)"
2015,16445.0,21510.0,7837.0,,411.0,1148.0,,12509.0,2499.0,17172.0,1348.0,62.0,,1020.0,18758.0,17804.0,131.0,11832.0,211.0,14812.0,465.0,1931.0,21949.0,1806.0,5324.0,4265.0,5458.0,12187.0,67375.0,19963.0,30855.0,19632.0,16594.0,,2453.0,1073.0,11562.0,,,,361.0
2016,15075.0,,12005.0,,437.0,1070.0,,14546.0,3403.0,15895.0,1230.0,,,979.0,17387.0,17146.0,137.0,12344.0,113.0,16385.0,369.0,2572.0,16878.0,2197.0,4231.0,4281.0,5436.0,13794.0,81029.0,12619.0,25716.0,27573.0,19465.0,,2673.0,893.0,12574.0,,,10850.0,295.0
2017,16368.0,,15690.0,,436.0,1057.0,,15372.0,3785.0,15220.0,1300.0,,,1201.0,15784.0,14938.0,203.0,9149.0,158.0,16194.0,406.0,2644.0,17636.0,3089.0,3012.0,3089.0,5437.0,20241.0,84079.0,14023.0,23135.0,30904.0,25344.0,,1783.0,1025.0,9645.0,,,10949.0,177.0
2018,16362.0,,20373.0,,493.0,768.0,,18493.0,2480.0,15210.0,1394.0,,,1799.0,14979.0,51146.0,181.0,10978.0,77.0,18415.0,337.0,2249.0,16128.0,3693.0,7146.0,2811.0,5959.0,36936.0,65116.0,10826.0,15512.0,50642.0,26379.0,,1493.0,907.0,11300.0,,15569.0,14408.0,120.0
2019,14607.0,,23775.0,,407.0,908.0,,19473.0,1795.0,14378.0,1312.0,,,1353.0,14493.0,43101.0,262.0,13873.0,39.0,15502.0,657.0,3892.0,16053.0,3999.0,7767.0,2373.0,5975.0,,61832.0,10842.0,15395.0,38218.0,114702.0,,2047.0,929.0,11677.0,,25789.0,13633.0,61.0
2020,13020.0,,19369.0,,659.0,968.0,,23751.0,2794.0,17614.0,3202.0,,,2018.0,16879.0,76741.0,391.0,12827.0,52.0,20604.0,1383.0,4213.0,43330.0,8788.0,8501.0,1423.0,24276.0,,108869.0,10372.0,10988.0,45330.0,241342.0,,2474.0,883.0,13638.0,,28218.0,15421.0,65.0
2021,11034.0,,19954.0,,,1118.0,979.0,24299.0,1287.0,16750.0,2167.0,,,1104.0,15253.0,39360.0,395.0,11335.0,,12346.0,578.0,4270.0,51629.0,20561.0,5991.0,810.0,,,82478.0,12346.0,6108.0,51829.0,323972.0,,3729.0,516.0,11578.0,,18522.0,23903.0,
2022,11264.0,,21832.0,568.0,,,,19021.0,,22985.0,2587.0,,2795.0,,14946.0,39416.0,,11554.0,,14003.0,,2183.0,27922.0,30529.0,5650.0,762.0,,,51679.0,9966.0,6183.0,58859.0,300497.0,,2385.0,,11727.0,2026.0,20649.0,32538.0,
2023,8045.0,,21489.0,540.0,,,,17823.0,,13718.0,2361.0,,3727.0,,15443.0,48223.0,,14190.0,,11284.0,,1498.0,19778.0,39570.0,4168.0,659.0,,,50523.0,8808.0,4144.0,55851.0,,298878.0,2825.0,,9521.0,1075.0,,37560.0,
2024,7097.0,,21442.0,587.0,,,,17910.0,,12876.0,4472.0,,3204.0,,20044.0,86415.0,,17367.0,,13032.0,,1583.0,21403.0,47919.0,3690.0,441.0,,,49572.0,12318.0,2705.0,64882.0,,193407.0,3156.0,,9359.0,982.0,,36002.0,
2025,7762.0,,24768.0,715.0,662.0,,,23159.0,,18774.0,,,3963.0,,24688.0,89129.0,,32424.0,,26383.0,,2386.0,31675.0,72984.0,5623.0,893.0,,,56478.0,20031.0,2194.0,67456.0,,191561.0,3611.0,,12368.0,971.0,,47794.0,
