year,category_raw,category,loss_usd
2015,Business Email Compromise,BEC/EAC,246226016
2015,Confidence Fraud/Romance,Confidence Fraud/Romance,203390531
2015,Non-Payment/Non-Delivery,Non-Payment/Non-Delivery,121329122
2015,Investment,Investment,119177899
2015,Identity Theft,Identity Theft,57294589
2015,Other,Other,56153977
2015,Advanced Fee,Advanced Fee,50721226
2015,419/Overpayment,Overpayment/419,49217119
2015,Personal Data Breach,Personal Data Breach,43477526
2015,Credit Card Fraud,Credit Card/Check Fraud,41503502
2015,Real Estate/Rental,Real Estate/Rental,41417647
2015,Corporate Data Breach,Corporate Data Breach,38800430
2015,Employment,Employment,33890824
2015,Lottery/Sweepstakes,Lottery/Sweepstakes/Inheritance,19365223
2015,Auction,Auction (2015 only),18906416
2015,Misrepresentation,Misrepresentation,17974014
2015,Extortion,Extortion,14799705
2015,Harassment/Threats of Violence,"Harassment/Threats of Violence (merged w/ Terrorism, 2021+)",13126123
2015,Government Impersonation,Government Impersonation,12090159
2015,Civil Matter,Civil Matter,9946345
2015,Phishing/Vishing/Smishing/Pharming,Phishing,8174316
2015,IPR/Copyright and Counterfeit,IPR/Copyright and Counterfeit,7230803
2015,Re-shipping,Re-shipping,3831957
2015,Malware/Scareware,Malware/Scareware/Virus,2912628
2015,Denial of Service,Denial of Service/TDoS,2770978
2015,Ransomware,Ransomware,1620814
2015,Charity,Charity,1328153
2015,Virus,Malware/Scareware/Virus,1230812
2015,Gambling,Gambling,955360
2015,Health Care Related,Health Care Related,906343
2015,Hacktivist,Hacktivist,171601
2015,Crimes Against Children,Crimes Against Children,97584
2015,Terrorism,"Terrorism (standalone, pre-2021)",65789
2015,Criminal Forums,Criminal Forums (2015 only),55996
2015,No Lead Value,No Lead Value,0
2016,BEC/EAC,BEC/EAC,360513961
2016,Confidence Fraud/Romance,Confidence Fraud/Romance,219807760
2016,Non-Payment/Non-Delivery,Non-Payment/Non-Delivery,138228282
2016,Investment,Investment,123407997
2016,Corporate Data Breach,Corporate Data Breach,95869990
2016,Other,Other,73092101
2016,Advanced Fee,Advanced Fee,60484573
2016,Personal Data Breach,Personal Data Breach,59139152
2016,Identity Theft,Identity Theft,58917398
2016,Civil Matter,Civil Matter,57688555
2016,419/Overpayment,Overpayment/419,56004836
2016,Credit Card Fraud,Credit Card/Check Fraud,48187993
