year,Advanced Fee,Auction (2015 only),BEC/EAC,Botnet,Charity,Civil Matter,Computer Intrusion (2021 only),Confidence Fraud/Romance,Corporate Data Breach,Credit Card/Check Fraud,Crimes Against Children,Criminal Forums (2015 only),"Data Breach (merged category, 2022+)",Denial of Service/TDoS,Employment,Extortion,Gambling,Government Impersonation,Hacktivist,"Harassment/Threats of Violence (merged w/ Terrorism, 2021+)",Health Care Related,IPR/Copyright and Counterfeit,Identity Theft,Investment,Lottery/Sweepstakes/Inheritance,Malware/Scareware/Virus,Misrepresentation,No Lead Value,Non-Payment/Non-Delivery,Other,Overpayment/419,Personal Data Breach,Phishing,Phishing/Spoofing (merged 2023+),Ransomware,Re-shipping,Real Estate/Rental,SIM Swap,"Spoofing (standalone, 2016-2022)",Tech Support,"Terrorism (standalone, pre-2021)"
2015,50721226.0,18906416.0,246226016.0,,1328153.0,9946345.0,,203390531.0,38800430.0,41503502.0,97584.0,55996.0,,2770978.0,33890824.0,14799705.0,955360.0,12090159.0,171601.0,13126123.0,906343.0,7230803.0,57294589.0,119177899.0,19365223.0,4143440.0,17974014.0,0.0,121329122.0,56153977.0,49217119.0,43477526.0,8174316.0,,1620814.0,3831957.0,41417647.0,,,,65789.0
2016,60484573.0,,360513961.0,,1660452.0,57688555.0,,219807760.0,95869990.0,48187993.0,79173.0,,,11213566.0,40517605.0,15811837.0,290693.0,12278714.0,55500.0,22005655.0,995659.0,6829467.0,58917398.0,123407997.0,21283769.0,5488672.0,13725233.0,0.0,138228282.0,73092101.0,56004836.0,59139152.0,31679451.0,,2431261.0,1932021.0,47875765.0,,,7806416.0,219935.0
2017,57861324.0,,676151185.0,,1405460.0,5766550.0,,211382989.0,60942306.0,57207248.0,46411.0,,,1466195.0,38883616.0,15302792.0,598853.0,12467380.0,20147.0,12569185.0,925849.0,5536912.0,66815298.0,96844144.0,16835001.0,5003434.0,14580907.0,0.0,141110441.0,23853704.0,53450830.0,77134865.0,29703421.0,,2344365.0,809746.0,56231333.0,,,14810080.0,18926.0
2018,92271682.0,,1297803489.0,,1006379.0,15172692.0,,362500761.0,117711989.0,88991436.0,265996.0,,,2052340.0,45487120.0,83357901.0,926953.0,64211765.0,77612.0,21903829.0,4474792.0,15802011.0,100429691.0,252955320.0,60214814.0,7411651.0,20000713.0,0.0,183826809.0,63126929.0,53225507.0,148892403.0,48241748.0,,3621857.0,1684179.0,149458114.0,,70000248.0,38697026.0,10193.0
2019,100602297.0,,1776549688.0,,2214383.0,20242867.0,,475014032.0,53398278.0,111491163.0,975311.0,,,7598198.0,42618705.0,107498956.0,1458118.0,124292606.0,129000.0,19866654.0,1128838.0,10293307.0,160305789.0,222186195.0,48642332.0,2009119.0,12371573.0,0.0,196563497.0,66223160.0,55820212.0,120102501.0,57836379.0,,8965847.0,1772692.0,221365911.0,,300478433.0,54041053.0,49589.0
2020,83215405.0,,1866642107.0,,4428766.0,24915958.0,,600249821.0,128916648.0,129820792.0,660044.0,,,512127.0,62314015.0,70935939.0,3961508.0,109938030.0,50.0,6547449.0,29042515.0,5910617.0,219484699.0,336469000.0,61111319.0,6904054.0,19707242.0,,265011249.0,101523082.0,51039922.0,194473055.0,54241075.0,,29157405.0,3095265.0,213196082.0,,216513728.0,146477709.0,0.0
2021,98694137.0,,2395953296.0,,,85049939.0,19603037.0,956039740.0,151568225.0,172998385.0,198950.0,,,217981.0,47231023.0,60577741.0,1940237.0,142643253.0,,4390720.0,7042942.0,16365011.0,278267918.0,1455943193.0,71289089.0,5596889.0,,,337493071.0,75837524.0,33407671.0,517021289.0,44213707.0,,49207908.0,631466.0,350328166.0,,82169806.0,347657432.0,
2022,104325444.0,,2742354049.0,17099378.0,,,,735882192.0,,264148905.0,577464.0,,459321859.0,,52204269.0,54335128.0,,240553091.0,,10593501.0,,4591177.0,189205793.0,3311742206.0,83602376.0,9326482.0,,,281770073.0,117686789.0,38335772.0,742438136.0,52089159.0,,34353237.0,,396932821.0,72652571.0,107926252.0,806551993.0,
2023,134516577.0,,2946830270.0,22422708.0,,,,652544805.0,,173627614.0,2031485.0,,534397222.0,,70234079.0,74821835.0,,394050518.0,,23208510.0,,7555329.0,126203809.0,4570275683.0,94502836.0,1213317.0,,,309648416.0,240053059.0,27955195.0,744219879.0,,18728550.0,59641384.0,,145243348.0,48798103.0,,924512658.0,
2024,102074512.0,,2770151146.0,8860202.0,,,,672009052.0,,199889841.0,519424.0,,364855818.0,,264223271.0,143185736.0,,405624084.0,,12453409.0,,8715512.0,174354745.0,6570639864.0,102212250.0,1365945.0,,,785436888.0,280278325.0,21452521.0,1453296303.0,,70013036.0,12473156.0,,173586820.0,25983946.0,,1464755976.0,
2025,155910852.0,,3046598558.0,13859049.0,7907609.0,,,929287469.0,,282670235.0,,,435240992.0,,362934762.0,122499133.0,,797943193.0,,37216699.0,,26667006.0,185832657.0,8648617756.0,194147851.0,19370572.0,,,503373587.0,512146819.0,22898075.0,1314923988.0,,215843126.0,32320105.0,,275110419.0,17366758.0,,2134675818.0,
